category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
InterPro,IPR001806,16,29,318829,"318829.MGG_00466T0,318829.MGG_01079T0,318829.MGG_01185T0,318829.MGG_02731T0,318829.MGG_03295T0,318829.MGG_04143T0,318829.MGG_06135T0,318829.MGG_06154T0,318829.MGG_06241T0,318829.MGG_06914T0,318829.MGG_06962T0,318829.MGG_07176T0,318829.MGG_08144T0,318829.MGG_09499T0,318829.MGG_09952T0,318829.MGG_10323T0","MGG_00466,MGG_01079,MGG_01185,MGG_02731,MGG_03295,MGG_04143,MGG_06135,MGG_06154,MGG_06241,MGG_06914,MGG_06962,MGG_07176,MGG_08144,MGG_09499,MGG_09952,MGG_10323",5.68e-05,0.0065,Small GTPase
InterPro,IPR014722,10,11,318829,"318829.MGG_02659T0,318829.MGG_02696T0,318829.MGG_02747T0,318829.MGG_03965T0,318829.MGG_04444T0,318829.MGG_05647T0,318829.MGG_06269T0,318829.MGG_07175T0,318829.MGG_12403T0,318829.MGG_16739T0","MGG_02659,MGG_02696,MGG_02747,MGG_03965,MGG_04444,MGG_05647,MGG_06269,MGG_07175,MGG_12403,MGG_06019",8.26e-05,0.0089,"Ribosomal protein L2, domain 2"
InterPro,IPR004839,12,17,318829,"318829.MGG_00864T0,318829.MGG_03264T0,318829.MGG_03940T0,318829.MGG_04134T0,318829.MGG_04156T0,318829.MGG_05067T0,318829.MGG_06446T0,318829.MGG_06503T0,318829.MGG_06530T0,318829.MGG_08189T0,318829.MGG_09919T0,318829.MGG_15731T0","MGG_00864,MGG_03264,MGG_03940,MGG_04134,MGG_04156,MGG_05067,MGG_06446,MGG_06503,MGG_06530,MGG_08189,MGG_09919,MGG_01564",8.86e-05,0.0089,"Aminotransferase, class I/classII"
InterPro,IPR027413,9,9,318829,"318829.MGG_00135T0,318829.MGG_01582T0,318829.MGG_01979T0,318829.MGG_03165T0,318829.MGG_03310T0,318829.MGG_03857T0,318829.MGG_06639T0,318829.MGG_10358T0,318829.MGG_11889T0","MGG_00135,MGG_01582,MGG_01979,MGG_03165,MGG_03310,MGG_03857,MGG_06639,MGG_10358,MGG_11889",0.00012,0.0112,GroEL-like equatorial domain superfamily
InterPro,IPR027410,9,9,318829,"318829.MGG_00135T0,318829.MGG_01582T0,318829.MGG_01979T0,318829.MGG_03165T0,318829.MGG_03310T0,318829.MGG_03857T0,318829.MGG_06639T0,318829.MGG_10358T0,318829.MGG_11889T0","MGG_00135,MGG_01582,MGG_01979,MGG_03165,MGG_03310,MGG_03857,MGG_06639,MGG_10358,MGG_11889",0.00012,0.0112,TCP-1-like chaperonin intermediate domain superfamily
InterPro,IPR009000,13,21,318829,"318829.MGG_00449T0,318829.MGG_01592T0,318829.MGG_01742T0,318829.MGG_02504T0,318829.MGG_02511T0,318829.MGG_03193T0,318829.MGG_03607T0,318829.MGG_03641T0,318829.MGG_06066T0,318829.MGG_08162T0,318829.MGG_09927T0,318829.MGG_13500T0,318829.MGG_16854T0","MGG_00449,MGG_01592,MGG_01742,MGG_02504,MGG_02511,MGG_03193,MGG_03607,MGG_03641,MGG_06066,MGG_08162,MGG_09927,MGG_13500,MGG_12949",0.00012,0.0112,"Translation protein, beta-barrel domain superfamily"
InterPro,IPR008991,10,12,318829,"318829.MGG_02659T0,318829.MGG_02696T0,318829.MGG_02953T0,318829.MGG_03965T0,318829.MGG_04444T0,318829.MGG_05647T0,318829.MGG_06269T0,318829.MGG_06693T0,318829.MGG_07175T0,318829.MGG_16739T0","MGG_02659,MGG_02696,MGG_02953,MGG_03965,MGG_04444,MGG_05647,MGG_06269,MGG_06693,MGG_07175,MGG_06019",0.00013,0.0112,Translation protein SH3-like domain superfamily
InterPro,IPR012340,21,52,318829,"318829.MGG_00685T0,318829.MGG_01066T0,318829.MGG_02696T0,318829.MGG_03680T0,318829.MGG_04010T0,318829.MGG_04941T0,318829.MGG_04966T0,318829.MGG_05260T0,318829.MGG_05647T0,318829.MGG_06269T0,318829.MGG_06453T0,318829.MGG_07124T0,318829.MGG_08084T0,318829.MGG_08628T0,318829.MGG_08691T0,318829.MGG_08897T0,318829.MGG_09894T0,318829.MGG_12574T0,318829.MGG_13200T0,318829.MGG_16739T0,318829.MGG_17596T0","MGG_00685,MGG_01066,MGG_02696,MGG_03680,MGG_04010,MGG_04941,MGG_04966,MGG_05260,MGG_05647,MGG_06269,MGG_06453,MGG_07124,MGG_08084,MGG_08628,MGG_08691,MGG_08897,MGG_09894,MGG_12574,MGG_13200,MGG_06019,MGG_01907",0.00015,0.0115,"Nucleic acid-binding, OB-fold"
InterPro,IPR014014,13,22,318829,"318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06522T0,318829.MGG_07033T0,318829.MGG_07099T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_16901T0","MGG_02806,MGG_03388,MGG_04179,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06522,DED1,MGG_07099,MGG_07333,MGG_07718,MGG_12894",0.00017,0.0124,"RNA helicase, DEAD-box type, Q motif"
InterPro,IPR003959,21,53,318829,"318829.MGG_00330T0,318829.MGG_00908T0,318829.MGG_01380T0,318829.MGG_01581T0,318829.MGG_02418T0,318829.MGG_04085T0,318829.MGG_04437T0,318829.MGG_05193T0,318829.MGG_05477T0,318829.MGG_06459T0,318829.MGG_07441T0,318829.MGG_07526T0,318829.MGG_07916T0,318829.MGG_10327T0,318829.MGG_11021T0,318829.MGG_11141T0,318829.MGG_12925T0,318829.MGG_14588T0,318829.MGG_15496T0,318829.MGG_16395T0,318829.MGG_17505T0","MGG_00330,MGG_00908,MGG_01380,MGG_01581,MGG_02418,MGG_04085,MGG_04437,MGG_05193,MGG_05477,MGG_06459,MGG_07441,MGG_07526,MGG_07916,MGG_10327,MGG_11021,MGG_11141,MGG_12925,MGG_14588,MGG_10738,MGG_05537,MGG_00206",0.00018,0.0125,"ATPase, AAA-type, core"
InterPro,IPR000504,25,70,318829,"318829.MGG_00348T0,318829.MGG_00444T0,318829.MGG_01268T0,318829.MGG_01519T0,318829.MGG_01746T0,318829.MGG_01842T0,318829.MGG_03506T0,318829.MGG_04482T0,318829.MGG_04667T0,318829.MGG_05264T0,318829.MGG_06218T0,318829.MGG_06400T0,318829.MGG_06668T0,318829.MGG_07252T0,318829.MGG_07327T0,318829.MGG_07511T0,318829.MGG_08741T0,318829.MGG_08898T0,318829.MGG_09885T0,318829.MGG_11418T0,318829.MGG_11457T0,318829.MGG_12101T0,318829.MGG_12370T0,318829.MGG_12843T0,318829.MGG_13526T0","MGG_00348,MGG_00444,MGG_01268,MGG_01519,MGG_01746,MGG_01842,MGG_03506,MGG_04482,MGG_04667,MGG_05264,MGG_06218,MGG_06400,MGG_06668,MGG_07252,MGG_07327,MGG_07511,MGG_08741,MGG_08898,MGG_09885,MGG_11418,MGG_11457,MGG_12101,MGG_12370,MGG_12843,MGG_13526",0.00018,0.0125,RNA recognition motif domain
InterPro,IPR029061,10,13,318829,"318829.MGG_02471T0,318829.MGG_03840T0,318829.MGG_03945T0,318829.MGG_04144T0,318829.MGG_06371T0,318829.MGG_06511T0,318829.MGG_06868T0,318829.MGG_07628T0,318829.MGG_10569T0,318829.MGG_12767T0","MGG_02471,MGG_03840,MGG_03945,MGG_04144,MGG_06371,MGG_06511,MGG_06868,MGG_07628,MGG_10569,MGG_12767",0.00021,0.0126,Thiamin diphosphate-binding fold
InterPro,IPR027409,9,10,318829,"318829.MGG_00135T0,318829.MGG_01582T0,318829.MGG_01979T0,318829.MGG_03165T0,318829.MGG_03310T0,318829.MGG_03857T0,318829.MGG_06639T0,318829.MGG_10358T0,318829.MGG_11889T0","MGG_00135,MGG_01582,MGG_01979,MGG_03165,MGG_03310,MGG_03857,MGG_06639,MGG_10358,MGG_11889",2e-04,0.0126,GroEL-like apical domain superfamily
InterPro,IPR016040,35,117,318829,"318829.MGG_00175T0,318829.MGG_00312T0,318829.MGG_01014T0,318829.MGG_01506T0,318829.MGG_02084T0,318829.MGG_02611T0,318829.MGG_03036T0,318829.MGG_03290T0,318829.MGG_03473T0,318829.MGG_03525T0,318829.MGG_03810T0,318829.MGG_04034T0,318829.MGG_04398T0,318829.MGG_04896T0,318829.MGG_05179T0,318829.MGG_05247T0,318829.MGG_05480T0,318829.MGG_06376T0,318829.MGG_06719T0,318829.MGG_08012T0,318829.MGG_08074T0,318829.MGG_08173T0,318829.MGG_08725T0,318829.MGG_08835T0,318829.MGG_09367T0,318829.MGG_10834T0,318829.MGG_11399T0,318829.MGG_11794T0,318829.MGG_12095T0,318829.MGG_12214T0,318829.MGG_14854T0,318829.MGG_15097T0,318829.MGG_15100T0,318829.MGG_16374T0,318829.MGG_16630T0","MGG_00175,MGG_00312,MGG_01014,MGG_01506,MGG_02084,MGG_02611,MGG_03036,MGG_03290,MGG_03473,MGG_03525,MGG_03810,MGG_04034,MGG_04398,MGG_04896,MGG_05179,MGG_05247,MGG_05480,MGG_06376,MGG_06719,MGG_08012,MGG_08074,MGG_08173,MGG_08725,MGG_08835,MGG_09367,MGG_10834,MGG_11399,MGG_11794,MGG_12095,MGG_12214,MGG_14854,MGG_12451,MGG_12455,MGG_05486,MGG_13390",2e-04,0.0126,NAD(P)-binding domain
InterPro,IPR012677,26,76,318829,"318829.MGG_00348T0,318829.MGG_00444T0,318829.MGG_01268T0,318829.MGG_01519T0,318829.MGG_01746T0,318829.MGG_02789T0,318829.MGG_03506T0,318829.MGG_04482T0,318829.MGG_04667T0,318829.MGG_05264T0,318829.MGG_06218T0,318829.MGG_06400T0,318829.MGG_06668T0,318829.MGG_07252T0,318829.MGG_07327T0,318829.MGG_07511T0,318829.MGG_08741T0,318829.MGG_08898T0,318829.MGG_09885T0,318829.MGG_10185T0,318829.MGG_11418T0,318829.MGG_11457T0,318829.MGG_12101T0,318829.MGG_12370T0,318829.MGG_12843T0,318829.MGG_13526T0","MGG_00348,MGG_00444,MGG_01268,MGG_01519,MGG_01746,MGG_02789,MGG_03506,MGG_04482,MGG_04667,MGG_05264,MGG_06218,MGG_06400,MGG_06668,MGG_07252,MGG_07327,MGG_07511,MGG_08741,MGG_08898,MGG_09885,MGG_10185,MGG_11418,MGG_11457,MGG_12101,MGG_12370,MGG_12843,MGG_13526",0.00023,0.0126,Nucleotide-binding alpha-beta plait domain superfamily
InterPro,IPR003593,35,117,318829,"318829.MGG_00330T0,318829.MGG_00908T0,318829.MGG_01380T0,318829.MGG_01581T0,318829.MGG_02418T0,318829.MGG_02572T0,318829.MGG_02663T0,318829.MGG_03173T0,318829.MGG_03185T0,318829.MGG_03736T0,318829.MGG_03958T0,318829.MGG_04085T0,318829.MGG_04437T0,318829.MGG_05193T0,318829.MGG_05477T0,318829.MGG_05977T0,318829.MGG_06459T0,318829.MGG_07441T0,318829.MGG_07526T0,318829.MGG_07916T0,318829.MGG_09520T0,318829.MGG_09941T0,318829.MGG_10327T0,318829.MGG_11021T0,318829.MGG_11141T0,318829.MGG_11205T0,318829.MGG_11382T0,318829.MGG_11547T0,318829.MGG_11754T0,318829.MGG_11862T0,318829.MGG_12925T0,318829.MGG_14588T0,318829.MGG_14971T0,318829.MGG_15496T0,318829.MGG_17505T0","MGG_00330,MGG_00908,MGG_01380,MGG_01581,MGG_02418,MGG_02572,MGG_02663,MGG_03173,MGG_03185,MGG_03736,MGG_03958,MGG_04085,MGG_04437,MGG_05193,MGG_05477,MGG_05977,MGG_06459,MGG_07441,MGG_07526,MGG_07916,MGG_09520,MGG_09941,MGG_10327,MGG_11021,MGG_11141,MGG_11205,MGG_11382,MGG_11547,MGG_11754,MGG_11862,MGG_12925,MGG_14588,MGG_12035,MGG_10738,MGG_00206",2e-04,0.0126,AAA+ ATPase domain
InterPro,IPR002423,9,10,318829,"318829.MGG_00135T0,318829.MGG_01582T0,318829.MGG_01979T0,318829.MGG_03165T0,318829.MGG_03310T0,318829.MGG_03857T0,318829.MGG_06639T0,318829.MGG_10358T0,318829.MGG_11889T0","MGG_00135,MGG_01582,MGG_01979,MGG_03165,MGG_03310,MGG_03857,MGG_06639,MGG_10358,MGG_11889",2e-04,0.0126,Chaperonin Cpn60/TCP-1 family
InterPro,IPR017998,8,8,318829,"318829.MGG_00135T0,318829.MGG_01582T0,318829.MGG_01979T0,318829.MGG_03310T0,318829.MGG_03857T0,318829.MGG_06639T0,318829.MGG_10358T0,318829.MGG_11889T0","MGG_00135,MGG_01582,MGG_01979,MGG_03310,MGG_03857,MGG_06639,MGG_10358,MGG_11889",0.00029,0.0149,Chaperone tailless complex polypeptide 1 (TCP-1)
InterPro,IPR036812,13,24,318829,"318829.MGG_00097T0,318829.MGG_01345T0,318829.MGG_01404T0,318829.MGG_01713T0,318829.MGG_02921T0,318829.MGG_08464T0,318829.MGG_08810T0,318829.MGG_09715T0,318829.MGG_12775T0,318829.MGG_13188T0,318829.MGG_14689T0,318829.MGG_16375T0,318829.MGG_16813T0","MGG_00097,MGG_01345,MGG_01404,MGG_01713,MGG_02921,MGG_08464,MGG_08810,MGG_09715,MGG_12775,MGG_13188,MGG_14689,MGG_05487,MGG_16813",0.00032,0.0161,NADP-dependent oxidoreductase domain superfamily
InterPro,IPR023210,13,24,318829,"318829.MGG_00097T0,318829.MGG_01345T0,318829.MGG_01404T0,318829.MGG_01713T0,318829.MGG_02921T0,318829.MGG_08464T0,318829.MGG_08810T0,318829.MGG_09715T0,318829.MGG_12775T0,318829.MGG_13188T0,318829.MGG_14689T0,318829.MGG_16375T0,318829.MGG_16813T0","MGG_00097,MGG_01345,MGG_01404,MGG_01713,MGG_02921,MGG_08464,MGG_08810,MGG_09715,MGG_12775,MGG_13188,MGG_14689,MGG_05487,MGG_16813",0.00032,0.0161,NADP-dependent oxidoreductase domain
InterPro,IPR001494,9,11,318829,"318829.MGG_01449T0,318829.MGG_02526T0,318829.MGG_02927T0,318829.MGG_03537T0,318829.MGG_03668T0,318829.MGG_03994T0,318829.MGG_09208T0,318829.MGG_11165T0,318829.MGG_16711T0","MGG_01449,MGG_02526,MGG_02927,MGG_03537,MGG_03668,MGG_03994,MGG_09208,MGG_11165,MGG_05869",0.00032,0.0161,"Importin-beta, N-terminal domain"
InterPro,IPR020904,19,48,318829,"318829.MGG_00460T0,318829.MGG_02612T0,318829.MGG_02914T0,318829.MGG_04323T0,318829.MGG_04683T0,318829.MGG_04738T0,318829.MGG_06148T0,318829.MGG_06494T0,318829.MGG_06660T0,318829.MGG_07076T0,318829.MGG_07216T0,318829.MGG_07455T0,318829.MGG_07576T0,318829.MGG_07974T0,318829.MGG_09218T0,318829.MGG_11927T0,318829.MGG_13404T0,318829.MGG_13518T0,318829.MGG_16970T0","MGG_00460,MGG_02612,MGG_02914,MGG_04323,MGG_04683,MGG_04738,MGG_06148,MGG_06494,MGG_06660,MGG_07076,MGG_07216,MGG_07455,MGG_07576,MGG_07974,MGG_09218,MGG_11927,MGG_13403,MGG_13518,MGG_13918",0.00037,0.0172,"Short-chain dehydrogenase/reductase, conserved site"
InterPro,IPR036400,12,22,318829,"318829.MGG_00274T0,318829.MGG_01723T0,318829.MGG_01790T0,318829.MGG_03418T0,318829.MGG_03619T0,318829.MGG_05949T0,318829.MGG_06062T0,318829.MGG_06510T0,318829.MGG_06654T0,318829.MGG_12396T0,318829.MGG_13014T0,318829.MGG_17472T0","MGG_00274,MGG_01723,MGG_01790,MGG_03418,MGG_03619,MGG_05949,MGG_06062,MGG_06510,MGG_06654,MGG_12396,MGG_13014,MGG_00335",0.00052,0.0225,Cytochrome b5-like heme/steroid binding domain superfamily
InterPro,IPR011761,9,12,318829,"318829.MGG_01256T0,318829.MGG_01537T0,318829.MGG_04503T0,318829.MGG_06720T0,318829.MGG_07613T0,318829.MGG_07756T0,318829.MGG_10320T0,318829.MGG_11343T0,318829.MGG_16230T0","MGG_01256,MGG_01537,MGG_04503,MGG_06720,MGG_07613,MGG_07756,MGG_10320,MGG_11343,MGG_06977",5e-04,0.0225,ATP-grasp fold
InterPro,IPR011990,28,91,318829,"318829.MGG_00106T0,318829.MGG_00567T0,318829.MGG_00979T0,318829.MGG_01121T0,318829.MGG_03196T0,318829.MGG_03265T0,318829.MGG_03530T0,318829.MGG_03565T0,318829.MGG_04080T0,318829.MGG_05151T0,318829.MGG_05260T0,318829.MGG_05319T0,318829.MGG_05438T0,318829.MGG_05462T0,318829.MGG_06075T0,318829.MGG_06164T0,318829.MGG_06398T0,318829.MGG_06904T0,318829.MGG_06941T0,318829.MGG_07035T0,318829.MGG_07087T0,318829.MGG_07768T0,318829.MGG_08069T0,318829.MGG_08104T0,318829.MGG_08820T0,318829.MGG_08980T0,318829.MGG_09846T0,318829.MGG_11701T0","MGG_00106,MGG_00567,MGG_00979,MGG_01121,MGG_03196,MGG_03265,MGG_03530,MGG_03565,MGG_04080,MGG_05151,MGG_05260,MGG_05319,MGG_05438,MGG_05462,MGG_06075,MGG_06164,MGG_06398,MGG_06904,MGG_06941,MGG_07035,MGG_07087,MGG_07768,MGG_08069,MGG_08104,MGG_08820,MGG_08980,MGG_09846,MGG_11701",0.00057,0.0241,Tetratricopeptide-like helical domain superfamily
InterPro,IPR023333,7,7,318829,"318829.MGG_00170T0,318829.MGG_00331T0,318829.MGG_02086T0,318829.MGG_04529T0,318829.MGG_04551T0,318829.MGG_04622T0,318829.MGG_07031T0","MGG_00170,MGG_00331,MGG_02086,MGG_04529,MGG_04551,MGG_04622,MGG_07031",7e-04,0.0289,Proteasome B-type subunit
InterPro,IPR023332,7,7,318829,"318829.MGG_01153T0,318829.MGG_04053T0,318829.MGG_06472T0,318829.MGG_07130T0,318829.MGG_07165T0,318829.MGG_07727T0,318829.MGG_08343T0","MGG_01153,MGG_04053,MGG_06472,MGG_07130,MGG_07165,MGG_07727,MGG_08343",7e-04,0.0289,Proteasome alpha-type subunit
InterPro,IPR017926,8,10,318829,"318829.MGG_00253T0,318829.MGG_00919T0,318829.MGG_01537T0,318829.MGG_01743T0,318829.MGG_06425T0,318829.MGG_07545T0,318829.MGG_08802T0,318829.MGG_11541T0","MGG_00253,MGG_00919,MGG_01537,MGG_01743,MGG_06425,MGG_07545,MGG_08802,MGG_11541",0.00077,0.0289,Glutamine amidotransferase
InterPro,IPR016050,7,7,318829,"318829.MGG_00170T0,318829.MGG_00331T0,318829.MGG_02086T0,318829.MGG_04551T0,318829.MGG_06472T0,318829.MGG_07031T0,318829.MGG_08343T0","MGG_00170,MGG_00331,MGG_02086,MGG_04551,MGG_06472,MGG_07031,MGG_08343",7e-04,0.0289,"Proteasome beta-type subunit, conserved site"
InterPro,IPR002194,7,7,318829,"318829.MGG_01582T0,318829.MGG_01979T0,318829.MGG_03310T0,318829.MGG_03857T0,318829.MGG_06639T0,318829.MGG_10358T0,318829.MGG_11889T0","MGG_01582,MGG_01979,MGG_03310,MGG_03857,MGG_06639,MGG_10358,MGG_11889",7e-04,0.0289,"Chaperonin TCP-1, conserved site"
InterPro,IPR001199,12,23,318829,"318829.MGG_00274T0,318829.MGG_01723T0,318829.MGG_01790T0,318829.MGG_03418T0,318829.MGG_03619T0,318829.MGG_05949T0,318829.MGG_06062T0,318829.MGG_06510T0,318829.MGG_06654T0,318829.MGG_12396T0,318829.MGG_13014T0,318829.MGG_17472T0","MGG_00274,MGG_01723,MGG_01790,MGG_03418,MGG_03619,MGG_05949,MGG_06062,MGG_06510,MGG_06654,MGG_12396,MGG_13014,MGG_00335",7e-04,0.0289,Cytochrome b5-like heme/steroid binding domain
InterPro,IPR000426,7,7,318829,"318829.MGG_01153T0,318829.MGG_04053T0,318829.MGG_06472T0,318829.MGG_07130T0,318829.MGG_07165T0,318829.MGG_07727T0,318829.MGG_08343T0","MGG_01153,MGG_04053,MGG_06472,MGG_07130,MGG_07165,MGG_07727,MGG_08343",7e-04,0.0289,"Proteasome alpha-subunit, N-terminal domain"
InterPro,IPR016161,11,20,318829,"318829.MGG_00652T0,318829.MGG_01230T0,318829.MGG_01309T0,318829.MGG_01606T0,318829.MGG_01991T0,318829.MGG_03900T0,318829.MGG_05008T0,318829.MGG_05814T0,318829.MGG_09456T0,318829.MGG_12996T0,318829.MGG_17513T0","MGG_00652,MGG_01230,MGG_01309,MGG_01606,MGG_01991,MGG_03900,MGG_05008,MGG_05814,MGG_09456,MGG_12996,MGG_00189",0.00083,0.0293,Aldehyde/histidinol dehydrogenase
InterPro,IPR003960,12,24,318829,"318829.MGG_00330T0,318829.MGG_00908T0,318829.MGG_01380T0,318829.MGG_01581T0,318829.MGG_02418T0,318829.MGG_05193T0,318829.MGG_05477T0,318829.MGG_07441T0,318829.MGG_07916T0,318829.MGG_12925T0,318829.MGG_14588T0,318829.MGG_15496T0","MGG_00330,MGG_00908,MGG_01380,MGG_01581,MGG_02418,MGG_05193,MGG_05477,MGG_07441,MGG_07916,MGG_12925,MGG_14588,MGG_10738",0.00093,0.0319,"ATPase, AAA-type, conserved site"
InterPro,IPR035979,24,76,318829,"318829.MGG_00348T0,318829.MGG_00444T0,318829.MGG_01268T0,318829.MGG_01519T0,318829.MGG_01746T0,318829.MGG_03506T0,318829.MGG_04482T0,318829.MGG_04667T0,318829.MGG_05264T0,318829.MGG_06218T0,318829.MGG_06400T0,318829.MGG_06668T0,318829.MGG_07252T0,318829.MGG_07327T0,318829.MGG_07511T0,318829.MGG_08741T0,318829.MGG_08898T0,318829.MGG_09885T0,318829.MGG_11418T0,318829.MGG_11457T0,318829.MGG_12101T0,318829.MGG_12370T0,318829.MGG_12843T0,318829.MGG_13526T0","MGG_00348,MGG_00444,MGG_01268,MGG_01519,MGG_01746,MGG_03506,MGG_04482,MGG_04667,MGG_05264,MGG_06218,MGG_06400,MGG_06668,MGG_07252,MGG_07327,MGG_07511,MGG_08741,MGG_08898,MGG_09885,MGG_11418,MGG_11457,MGG_12101,MGG_12370,MGG_12843,MGG_13526",0.001,0.0328,RNA-binding domain superfamily
InterPro,IPR009060,10,17,318829,"318829.MGG_01318T0,318829.MGG_01656T0,318829.MGG_04080T0,318829.MGG_04430T0,318829.MGG_04882T0,318829.MGG_06184T0,318829.MGG_06627T0,318829.MGG_06649T0,318829.MGG_08270T0,318829.MGG_17102T0","MGG_01318,MGG_01656,MGG_04080,MGG_04430,MGG_04882,MGG_06184,MGG_06627,MGG_06649,MGG_08270,MGG_03371",0.00098,0.0328,UBA-like superfamily
InterPro,IPR006195,10,17,318829,"318829.MGG_03230T0,318829.MGG_03551T0,318829.MGG_04425T0,318829.MGG_04966T0,318829.MGG_06321T0,318829.MGG_06913T0,318829.MGG_08897T0,318829.MGG_10357T0,318829.MGG_12574T0,318829.MGG_15290T0","MGG_03230,MGG_03551,MGG_04425,MGG_04966,MGG_06321,MGG_06913,MGG_08897,MGG_10357,MGG_12574,MGG_03730",0.00098,0.0328,"Aminoacyl-tRNA synthetase, class II"
InterPro,IPR013766,9,14,318829,"318829.MGG_02710T0,318829.MGG_04236T0,318829.MGG_05753T0,318829.MGG_06175T0,318829.MGG_06356T0,318829.MGG_06786T0,318829.MGG_08164T0,318829.MGG_08256T0,318829.MGG_17942T0","MGG_02710,MGG_04236,MGG_05753,MGG_06175,MGG_06356,MGG_06786,MGG_08164,MGG_08256,MGG_17942",0.0011,0.035,Thioredoxin domain
InterPro,IPR037171,8,11,318829,"318829.MGG_04113T0,318829.MGG_06077T0,318829.MGG_06609T0,318829.MGG_10148T0,318829.MGG_11480T0,318829.MGG_13245T0,318829.MGG_14472T0,318829.MGG_17708T0","MGG_04113,MGG_06077,MGG_06609,MGG_10148,MGG_11480,MGG_13245,MRI1,MGG_04027",0.0012,0.0365,NagB/RpiA transferase-like
InterPro,IPR029064,7,8,318829,"318829.MGG_02467T0,318829.MGG_03135T0,318829.MGG_04612T0,318829.MGG_05999T0,318829.MGG_06266T0,318829.MGG_06480T0,318829.MGG_14349T0","MGG_02467,MGG_03135,MGG_04612,MGG_05999,MGG_06266,MGG_06480,MGG_14349",0.0012,0.0365,50S ribosomal protein L30e-like
InterPro,IPR029006,8,11,318829,"318829.MGG_03164T0,318829.MGG_06152T0,318829.MGG_06358T0,318829.MGG_06569T0,318829.MGG_06910T0,318829.MGG_07617T0,318829.MGG_09564T0,318829.MGG_10059T0","MGG_03164,MGG_06152,MGG_06358,MGG_06569,MGG_06910,MGG_07617,MGG_09564,MGG_10059",0.0012,0.0365,ADF-H/Gelsolin-like domain superfamily
InterPro,IPR019734,15,37,318829,"318829.MGG_00567T0,318829.MGG_00979T0,318829.MGG_03196T0,318829.MGG_03565T0,318829.MGG_05151T0,318829.MGG_05319T0,318829.MGG_05438T0,318829.MGG_05462T0,318829.MGG_06164T0,318829.MGG_06941T0,318829.MGG_08104T0,318829.MGG_08820T0,318829.MGG_08980T0,318829.MGG_09846T0,318829.MGG_11701T0","MGG_00567,MGG_00979,MGG_03196,MGG_03565,MGG_05151,MGG_05319,MGG_05438,MGG_05462,MGG_06164,MGG_06941,MGG_08104,MGG_08820,MGG_08980,MGG_09846,MGG_11701",0.0012,0.0365,Tetratricopeptide repeat
InterPro,IPR016185,8,11,318829,"318829.MGG_01256T0,318829.MGG_01537T0,318829.MGG_04503T0,318829.MGG_06454T0,318829.MGG_07613T0,318829.MGG_07756T0,318829.MGG_10320T0,318829.MGG_11343T0","MGG_01256,MGG_01537,MGG_04503,MGG_06454,MGG_07613,MGG_07756,MGG_10320,MGG_11343",0.0012,0.0365,Pre-ATP-grasp domain superfamily
InterPro,IPR001412,8,11,318829,"318829.MGG_01046T0,318829.MGG_01165T0,318829.MGG_03220T0,318829.MGG_04396T0,318829.MGG_05956T0,318829.MGG_09080T0,318829.MGG_09393T0,318829.MGG_09540T0","MGG_01046,MGG_01165,MGG_03220,MGG_04396,MGG_05956,MGG_09080,MGG_09393,MGG_09540",0.0012,0.0365,"Aminoacyl-tRNA synthetase, class I, conserved site"
InterPro,IPR016163,10,18,318829,"318829.MGG_00652T0,318829.MGG_01230T0,318829.MGG_01606T0,318829.MGG_01991T0,318829.MGG_03900T0,318829.MGG_05008T0,318829.MGG_05814T0,318829.MGG_09456T0,318829.MGG_12996T0,318829.MGG_17513T0","MGG_00652,MGG_01230,MGG_01606,MGG_01991,MGG_03900,MGG_05008,MGG_05814,MGG_09456,MGG_12996,MGG_00189",0.0014,0.0376,"Aldehyde dehydrogenase, C-terminal"
InterPro,IPR000795,9,15,318829,"318829.MGG_00449T0,318829.MGG_01592T0,318829.MGG_01742T0,318829.MGG_02504T0,318829.MGG_03641T0,318829.MGG_06066T0,318829.MGG_08162T0,318829.MGG_13500T0,318829.MGG_16854T0","MGG_00449,MGG_01592,MGG_01742,MGG_02504,MGG_03641,MGG_06066,MGG_08162,MGG_13500,MGG_12949",0.0016,0.0432,"Transcription factor, GTP-binding domain"
InterPro,IPR029510,8,12,318829,"318829.MGG_00652T0,318829.MGG_01230T0,318829.MGG_01991T0,318829.MGG_03900T0,318829.MGG_05008T0,318829.MGG_05814T0,318829.MGG_09456T0,318829.MGG_17513T0","MGG_00652,MGG_01230,MGG_01991,MGG_03900,MGG_05008,MGG_05814,MGG_09456,MGG_00189",0.0018,0.0467,"Aldehyde dehydrogenase, glutamic acid active site"
